index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote,de,en,la,added,locations,country,ipcc,continent,latitude,longitude
4a63c5b20a86076dc5e2ef9669f341db,2026-04-07T03:53:04Z,'Schneemassen',www.zeit.de,de,0.9,Ende der Skisaison: Tödlicher Winter: 135 Tote durch Lawinen,Hier finden Sie Informationen zu dem Thema „Ende der Skisaison“. Lesen Sie jetzt „Tödlicher Winter: 135 Tote durch Lawinen“.,https://www.zeit.de/news/2026-04/07/toedlicher-winter-135-tote-durch-lawinen,https://img.zeit.de/news/2026-04/07/toedlicher-winter-135-tote-durch-lawinen-image-group/wide__1300x731,http://web.archive.org/web/20260408070156/https://www.zeit.de/news/2026-04/07/toedlicher-winter-135-tote-durch-lawinen,In Europa sind in diesem Winter so viele Menschen durch Lawinen ums Leben gekommen wie seit Jahren nicht mehr. Nach einer offiziellen Statistik starben in den Alpen und in anderen europäischen Gebirg… [+3268 chars],,Ende der Skisaison: Tödlicher Winter: 135 Tote durch Lawinen. Hier finden Sie Informationen zu dem Thema „Ende der Skisaison“. Lesen Sie jetzt „Tödlicher Winter: 135 Tote durch Lawinen“.,End of ski season: Deadly winter: 135 dead from avalanches. Here you will find information on the topic “End of the ski season”. Read “Deadly winter: 135 dead in avalanches” now.,"Finis ski temporum: Letalis hiems: avalanches mortuus 135. Hic informationes invenies in themate ""Finis ski temporum"". Lege ""Hiems mortifera: 135 in avalanches mortuus"" nunc.",2026-04-14 15:48:35+00:00,,,,,,
8dde7bd601fa4dfc1d55a60b2b8805ab,2026-04-07T03:53:04Z,'Lawine',www.stern.de,de,0.9,Ende der Skisaison: Tödlicher Winter: 135 Tote durch Lawinen,"In vielen europäischen Skigebieten ist die Saison nach dem Osterwochenende vorbei. Die Lawinenwarndienste ziehen eine düstere Bilanz. Experten meinen, dass das auch mit dem Klimawandel zu tun hat.",https://www.stern.de/panorama/ende-der-skisaison--toedlicher-winter--135-tote-durch-lawinen-37286184.html,https://image.stern.de/37286186/t/wt/v1/w1440/r1.7778/-/07--m4rjx7uw6gv11axs2048jpeg---95194e8cbd37193a.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
In vielen europäischen Skigebieten ist die Saison nach dem Osterwochenende vorbei. Die Lawinenwarndienste ziehen eine düstere Bilanz. Experten me… [+3480 chars]",,"Ende der Skisaison: Tödlicher Winter: 135 Tote durch Lawinen. In vielen europäischen Skigebieten ist die Saison nach dem Osterwochenende vorbei. Die Lawinenwarndienste ziehen eine düstere Bilanz. Experten meinen, dass das auch mit dem Klimawandel zu tun hat.",End of ski season: Deadly winter: 135 dead from avalanches. In many European ski resorts the season is over after the Easter weekend. The avalanche warning services draw a bleak conclusion. Experts believe that this also has to do with climate change.,Finis ski temporum: Letalis hiems: avalanches mortuus 135. Multis Europae ski tempus expletum est post weekend Paschae. NIVIS monita tristia concludunt officia trahunt. Periti hoc quoque pertinere credunt ad mutationem climatis.,2026-04-14 15:48:35+00:00,,,,,,
0a078ab3658487366149bd8a037fed99,2026-04-07T04:05:00Z,'Schneemassen',www.stern.de,de,0.9,Wintersport in Europa: In diesem Winter starben mindestens 135 Menschen durch Lawinen,Lawinen sind oft tödlich. In diesem Winter kam es in den europäischen Bergregionen zu besonders vielen Unglücken. Es kamen überdurchschnittlich viele Menschen ums Leben.,https://www.stern.de/panorama/durch-lawinen-starben-mindestens-135-menschen-in-diesem-winter-37286104.html,https://image.stern.de/37286106/t/qO/v1/w1440/r1.7778/-/lawinen.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Lawinen sind oft tödlich. In diesem Winter kam es in den europäischen Bergregionen zu besonders vielen Unglücken. Es kamen überdurchschnittlich v… [+1243 chars]",,Wintersport in Europa: In diesem Winter starben mindestens 135 Menschen durch Lawinen. Lawinen sind oft tödlich. In diesem Winter kam es in den europäischen Bergregionen zu besonders vielen Unglücken. Es kamen überdurchschnittlich viele Menschen ums Leben.,Winter sports in Europe: At least 135 people died in avalanches this winter. Avalanches are often fatal. This winter there were particularly many accidents in the European mountain regions. An above-average number of people died.,Ludi hiberni in Europa: Saltem 135 homines in avalanches hac hieme mortui sunt. Avalanches saepe exitialis est. Haec hieme praecipue multa accidentia in montosis Europaeis erant. Mediocris numerus hominum mortuus est.,2026-04-14 15:48:35+00:00,,,,,,
216c202d8b92ba091c694510d9157666,2026-04-07T05:00:12Z,'Lawine',www.faz.net,de,0.9,Unglücke in europa: So viele Menschen kamen diesen Winter durch Lawinen ums Leben,In vielen europäischen Skigebieten ist die Saison vorbei. Die Lawinenwarndienste ziehen eine düstere Bilanz.,https://www.faz.net/aktuell/gesellschaft/ungluecke/europas-lawinen-so-viele-tote-gab-es-im-winter-2025-26-accg-200706347.html,https://media0.faz.net/image/w1200h627/d5f40e46d148/w4344h2269x0y171o/202603/43601.0.1932146119/rettungskraefte-suchen-im.webp,http://web.archive.org/web/20260408035007/https://www.faz.net/aktuell/gesellschaft/ungluecke/europas-lawinen-so-viele-tote-gab-es-im-winter-2025-26-accg-200706347.html,In Europa sind in diesem Winter so viele Menschen durch Lawinen ums Leben gekommen wie seit Jahren nicht mehr. Nach einer offiziellen Statistik starben in den Alpen und in anderen europäischen Gebirg… [+3211 chars],,Unglücke in europa: So viele Menschen kamen diesen Winter durch Lawinen ums Leben. In vielen europäischen Skigebieten ist die Saison vorbei. Die Lawinenwarndienste ziehen eine düstere Bilanz.,Accidents in Europe: This is how many people died in avalanches this winter. The season is over in many European ski resorts. The avalanche warning services draw a bleak conclusion.,Accidentia in Europa: Haec hieme multi moriuntur in avalanches. Tempus in multis Europae ski frequentatur occupatum est. NIVIS monita tristia concludunt officia trahunt.,2026-04-14 15:48:35+00:00,,,,,,
d27e43cc4ff9315c74f89a97d9a326ef,2026-04-07T06:42:07Z,'Lawine Klimawandel',www.zeit.de,de,0.9,Klimawandel: So viele Lawinentote in Europa wie seit Jahren nicht mehr,"In diesem Winter sind besonders viele Menschen von Lawinen getötet worden. Das liegt zum einen am Klimawandel, zum anderen am riskanten Verhalten mancher Wintersportler.",https://www.zeit.de/gesellschaft/2026-04/lawinen-alpen-klimawandel-skitouren-tote,https://img.zeit.de/gesellschaft/zeitgeschehen/2026-04/toedlicher-winter-135-tote-durch-lawinen-bild/wide__1300x731,,"In Europa sind in diesem Winter so viele 
Menschen durch Lawinen ums Leben gekommen wie seit Jahren nicht mehr. Laut einer offiziellen Statistik der European Avalanche Warning Service (EAWS) starben… [+410 chars]",,"Klimawandel: So viele Lawinentote in Europa wie seit Jahren nicht mehr. In diesem Winter sind besonders viele Menschen von Lawinen getötet worden. Das liegt zum einen am Klimawandel, zum anderen am riskanten Verhalten mancher Wintersportler.",Climate change: More avalanche deaths in Europe than in years. A particularly large number of people have been killed by avalanches this winter. This is partly due to climate change and partly due to the risky behavior of some winter sports enthusiasts.,"Mutatio climatis: Plures mortes NIVIS in Europa quam annis. Hac hieme maxime magnus numerus hominum avalanches interemptus est. Hoc partim propter climatis mutationem, partim periculosis moribus ludicrum hiemalium nonnullorum fanaticorum.",2026-04-14 15:48:35+00:00,,,,,,
d2591b47a552251397c1efdff9de75be,2026-04-07T09:31:07Z,'Schneemassen',www.tagesschau.de,de,0.9,Zahl der Lawinentoten in Europa auf Höchststand seit 2018,"Zum Ende der Skisaison haben die europäischen Lawinenwarndienste eine düstere Bilanz gezogen: Die Zahl der Menschen, die durch Lawinen ums Leben kamen, war so hoch wie seit Jahren nicht. Italien war besonders betroffen.",https://www.tagesschau.de/ausland/europa/lawinen-tote-europa-100.html,https://images.tagesschau.de/image/a5634221-a6fc-4f1a-99e3-39ca04d2ac84/AAABnWcYb-E/AAABnSSvrFg/16x9-big/lawine-128.jpg?width=1280,http://web.archive.org/web/20260407123905/https://www.tagesschau.de/ausland/europa/lawinen-tote-europa-100.html,"Stand: 07.04.2026 11:31 Uhr
Zum Ende der Skisaison haben die europäischen Lawinenwarndienste eine düstere Bilanz gezogen: Die Zahl der Menschen, die durch Lawinen ums Leben kamen, ist so hoch wie se… [+1358 chars]",,"Zahl der Lawinentoten in Europa auf Höchststand seit 2018. Zum Ende der Skisaison haben die europäischen Lawinenwarndienste eine düstere Bilanz gezogen: Die Zahl der Menschen, die durch Lawinen ums Leben kamen, war so hoch wie seit Jahren nicht. Italien war besonders betroffen.","Number of avalanche deaths in Europe at its highest since 2018. At the end of the ski season, the European avalanche warning services drew a bleak conclusion: the number of people who died in avalanches was higher than it had been in years. Italy was particularly affected.","Numerus avalanche mortes in Europa altissima ab anno 2018. Fine ski tempore, Europaea NIVIS monita officia tristi conclusione hausit: numerus hominum, qui in avalanches mortui sunt, altior erat quam ante annos erat. Italia maxime afficitur.",2026-04-14 15:48:35+00:00,,,,,,
fc1d41470f9b249faed044b2a7cc343d,2026-04-07T11:16:10Z,'Schneemassen',www.stern.de,de,0.9,Schnee-Abbruch: Dresdner Skifahrer stürzt bei Gipfel-Ausflug in den Tod,Im Skigebiet Sölden gibt es einen beliebten Weg von einer Liftstation zu einem Gipfel. Doch der Abstecher ist mit Risiken verbunden. Einem Deutschen werden abbrechende Schneemassen zum Verhängnis.,https://www.stern.de/gesellschaft/regional/bayern/schnee-abbruch--dresdner-skifahrer-stuerzt-bei-gipfel-ausflug-in-den-tod-37287672.html,https://image.stern.de/37287674/t/JB/v1/w1440/r1.7778/-/07--rupqh5zm5ev5axs2048jpeg---677d0db2561d07ee.jpg,http://web.archive.org/web/20260408071303/https://www.stern.de/gesellschaft/regional/bayern/schnee-abbruch--dresdner-skifahrer-stuerzt-bei-gipfel-ausflug-in-den-tod-37287672.html,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Im Skigebiet Sölden gibt es einen beliebten Weg von einer Liftstation zu einem Gipfel. Doch der Abstecher ist mit Risiken verbunden. Einem Deutsc… [+1526 chars]",,Schnee-Abbruch: Dresdner Skifahrer stürzt bei Gipfel-Ausflug in den Tod. Im Skigebiet Sölden gibt es einen beliebten Weg von einer Liftstation zu einem Gipfel. Doch der Abstecher ist mit Risiken verbunden. Einem Deutschen werden abbrechende Schneemassen zum Verhängnis.,"Snow demolition: Dresden skier falls to his death on a summit trip. In the Sölden ski area there is a popular path from a lift station to a summit. But the detour comes with risks. For a German, falling snow masses are fatal.",Nix demolitio: Dresda skier ad mortem cadit in culmine trinus. In Sölden ski area popularis via est ab statione ad summum fastigium. Sed cum periculo fit circuitus. Nam Germanus nix massas cadentes interire potest.,2026-04-14 15:48:35+00:00,,,,,,
5c6daf2ea2ba90ed9330cd21c87f8df1,2026-04-09T03:30:00Z,'Lawine',www.nzz.ch,de,0.9,INTERVIEW - «Mit dem Klimawandel hat die Lawinensituation dieses Winters nichts zu tun»,"In den Alpen kamen diesen Winter ungewöhnlich viele Schneesportler ums Leben. Grund sei das sogenannte Altschneeproblem, sagt Jürg Schweizer, Leiter des Instituts für Schnee- und Lawinenforschung. Man könne von Glück reden, dass es nicht noch mehr Opfer gegeb…",https://www.nzz.ch/panorama/mit-dem-klimawandel-hat-die-lawinensituation-dieses-winters-nichts-zu-tun-ld.1932234,"https://img.nzz.ch/2026/04/02/ab68357c-9f00-4f43-ad09-72001a4555db.jpg?width=1200&height=674&fit=bounds&quality=75&auto=webp&crop=6523,3669,x1733,y664&wmark=nzz",http://web.archive.org/web/20260410034820/https://www.nzz.ch/panorama/mit-dem-klimawandel-hat-die-lawinensituation-dieses-winters-nichts-zu-tun-ld.1932234,"In den Alpen kamen diesen Winter ungewöhnlich viele Schneesportler ums Leben. Grund sei das sogenannte Altschneeproblem, sagt Jürg Schweizer, Leiter des Instituts für Schnee- und Lawinenforschung. Ma… [+7410 chars]",,"INTERVIEW - «Mit dem Klimawandel hat die Lawinensituation dieses Winters nichts zu tun». In den Alpen kamen diesen Winter ungewöhnlich viele Schneesportler ums Leben. Grund sei das sogenannte Altschneeproblem, sagt Jürg Schweizer, Leiter des Instituts für Schnee- und Lawinenforschung. Man könne von Glück reden, dass es nicht noch mehr Opfer gegeb…","INTERVIEW - “This winter’s avalanche situation has nothing to do with climate change.” An unusually large number of snow sports enthusiasts died in the Alps this winter. The reason is the so-called old snow problem, says Jürg Schweizer, head of the Institute for Snow and Avalanche Research. One can count oneself lucky that there were no more victims...","CONLOQUIUM - ""Hiemalis NIVIS CASUS nihil habet cum mutatione climatis."" In Alpibus hac hieme maior numerus ludis nivalibus fanaticus mortuus est. Causa problema nix vetus sic dicta est, dicit Jürg Schweizer, caput Instituti Nivis et Investigationis Avalanche. Numerare se felicem potest quod victimae nullae erant.",2026-04-14 21:12:34+00:00,,,,,,
d354d6745b268f58074ab10d0f6aabea,2026-04-04T10:47:40Z,'Lawinenlagebericht',www.diepresse.com,de,0.9,Sucheinsatz nach Lawinenabgang in den Schladminger Tauern,"In den Schladminger Tauern wird ein Skitourengehener seit Freitag vermisst, am Unfallort ist eine Lawine abgegangen. Eine großangelegte Suche läuft.",https://www.diepresse.com/20740537/sucheinsatz-nach-lawinenabgang-in-den-schladminger-tauern,https://img.diepresse.com/public/incoming/erbox6-22730394790625332bldhiresjpg/alternates/DPR_SOCIAL_NACHRICHTEN/22730394790625332_BLD_HiRes.jpg,http://web.archive.org/web/20260405021204/https://www.diepresse.com/20740537/sucheinsatz-nach-lawinenabgang-in-den-schladminger-tauern,"In den Schladminger Tauern wird ein Skitourengehener seit Freitag vermisst, am Unfallort ist eine Lawine abgegangen. Eine großangelegte Suche läuft. 
Tweng (APA) - In den Schladminger Tauern im Salz… [+843 chars]",,"Sucheinsatz nach Lawinenabgang in den Schladminger Tauern. In den Schladminger Tauern wird ein Skitourengehener seit Freitag vermisst, am Unfallort ist eine Lawine abgegangen. Eine großangelegte Suche läuft.",Search operation after an avalanche in the Schladminger Tauern. A ski tourer has been missing in the Schladminger Tauern since Friday and an avalanche occurred at the scene of the accident. A large-scale search is underway.,Quaere operationem post avalanche in Schladminger Tauern. A ski tourer in Schladminger Tauern desideratum est ex quo Veneris et NIVIS in casu accidit. Magna-scala quaesitio comparata est.,2026-04-15 15:45:31+00:00,,,,,,
79cb76dc09b54d8f6d2d4f353c1393ae,2026-04-14T09:34:17Z,'Lawine',www.sueddeutsche.de,de,0.9,Alpen: Tödlicher Lawinenwinter,"In den Alpen sind in diesem Winter bislang 143 Menschen durch Lawinen ums Leben gekommen, eine auffallend hohe Zahl. Liegt es am Klimawandel oder doch am Leichtsinn der Sportler?",https://www.sueddeutsche.de/panorama/alpen-lawinen-tote-hohe-zahlen-ursachen-li.3467170,https://www.sueddeutsche.de/2026/02/27/c819451c-3536-4e5c-8d8d-8b6443c04b86.jpg?q=60&fm=webp&width=1200&rect=0%2C383%2C2040%2C1147,,"Im Tal blühen schon Magnolien und Forsythien, doch in den Bergen ist die Wintersportsaison noch nicht vorbei und die Meldungen über Unglücke reißen nicht ab. Nach wie vor herrscht in den Alpen hohe L… [+5172 chars]",,"Alpen: Tödlicher Lawinenwinter. In den Alpen sind in diesem Winter bislang 143 Menschen durch Lawinen ums Leben gekommen, eine auffallend hohe Zahl. Liegt es am Klimawandel oder doch am Leichtsinn der Sportler?","Alps: Deadly avalanche winter. So far this winter, 143 people have died in avalanches in the Alps, a strikingly high number. Is it due to climate change or the recklessness of athletes?","Alpes: Funesta NIVIS Hiems. Hactenus haec hieme, in Alpibus avalanches hominum perierunt, magno numero. Estne propter mutationem climatis vel temeritati athletarum?",2026-04-17 05:38:56+00:00,,,,,,
