,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Alpen,Alpen,LOC,-0.11588542,0.06250000,de,192.00000000,4001328-5,682673,T,45.50000000,24.25000000,EUROPE,Romania,WCE
Österreich,Österreich,LOC,-0.12355072,0.02536232,de,138.00000000,4043271-3,2782113,A,47.33333000,13.33333000,EUROPE,Austria,WCE
Südtirol,Südtirol,LOC,-0.18496885,0.03504673,de,128.40000000,4060814-1,3165244,A,46.50000000,11.33333000,EUROPE,Italy,WCE
Tirol,Tirol,LOC,0.01548866,0.06180919,de,114.60000000,4027096-8,2775220,P,47.26266000,11.39454000,EUROPE,Austria,WCE
Kalifornien,Kalifornien,LOC,-0.58025830,0.05535055,de,54.20000000,4029307-5,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
Lawine,Lawine,LOC,-0.09533074,0.00972763,de,51.40000000,,11355774,P,31.72819000,-6.87980000,EUROPE-AFRICA,Morocco,MED
Bayern,Bayern,LOC,0.08499336,0.00000000,de,50.20000000,4005044-0,2951839,A,49.00000000,11.50000000,EUROPE,Germany,WCE
Frankreich,Frankreich,LOC,-0.28433735,0.00000000,de,41.50000000,4018145-5,3017382,A,46.00000000,2.00000000,EUROPE,France,WCE
Bergen,Bergen,LOC,-0.02946593,0.01381215,de,36.20000000,1027742-0,3161732,P,60.39299000,5.32415000,EUROPE,Norway,NEU
Lawinenabgang,Lawinenabgang,LOC,-0.12238806,0.00000000,de,33.50000000,,0,,,,,,
Lawinenunglück,Lawinenunglück,LOC,-0.13395639,0.00000000,de,32.10000000,,0,,,,,,
Lawinen,Lawinen,LOC,-0.20292208,0.14610390,de,30.80000000,,3868469,H,-49.36246000,-74.65861000,SOUTH-AMERICA,Chile,SSA
Norditalien,Norditalien,LOC,-0.03691275,0.00000000,de,29.80000000,,0,,,,,,
Schweiz,Schweiz,LOC,0.00288351,0.04613610,de,28.90000000,4053881-3,2658434,A,47.00016000,8.01427000,EUROPE,Switzerland,WCE
Vorarlberg,Vorarlberg,LOC,-0.03874539,0.00000000,de,27.10000000,4063944-7,2762300,A,47.25000000,9.91667000,EUROPE,Austria,WCE
Lawinenabgängen,Lawinenabgängen,LOC,-0.32103321,0.00000000,de,27.10000000,,0,,,,,,
Deutschland,Deutschland,LOC,-0.24159664,0.06302521,de,23.80000000,4011882-4,2921044,A,51.50000000,10.50000000,EUROPE,Germany,WCE
Italien,Italien,LOC,-0.21308017,0.02109705,de,23.70000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
Salzburg,Salzburg,LOC,0.08149780,0.06607930,de,22.70000000,4076982-3,2766824,P,47.79941000,13.04399000,EUROPE,Austria,WCE
…,…,LOC,0.06451613,0.00000000,de,21.70000000,,0,,,,,,
Tiroler,Tiroler,LOC,0.05526316,0.02631579,de,19.00000000,,2783037,H,47.85000000,12.50000000,EUROPE,Germany,WCE
Castle Peak,Castle Peak,LOC,-0.85889571,0.09202454,de,16.30000000,,6630899,T,-66.99150000,-65.88439000,POLAR,Antarctica,WAN
Stubaier,Stubaier,LOC,0.04294479,0.00000000,de,16.30000000,,2764095,T,47.08333000,11.16667000,EUROPE,Austria,WCE
Aostatal,Aostatal,LOC,-0.37012987,0.00000000,de,15.40000000,4002386-2,3164857,A,45.75000000,7.25000000,EUROPE,Italy,WCE
Europa,Europa,LOC,0.08008658,0.48701299,de,15.40000000,4015701-5,6255148,L,48.69096000,9.14062000,EUROPE,Germany,WCE
Ortlergebirge,Ortlergebirge,LOC,-0.16000000,0.13333333,de,15.00000000,,0,,,,,,
Bozen,Bozen,LOC,0.09333333,0.00000000,de,15.00000000,4007901-6,3181913,P,46.49067000,11.33982000,EUROPE,Italy,WCE
Schneemassen,Schneemassen,LOC,-0.11986301,0.10273973,de,14.60000000,,0,,,,,,
Steiermark,Steiermark,LOC,-0.08965517,0.00000000,de,14.50000000,4057092-7,2764581,A,47.25000000,15.16667000,EUROPE,Austria,WCE
Himalaya,Himalaya,LOC,-0.17910448,0.00000000,de,13.40000000,4024923-2,1252558,T,28.00000000,84.00000000,ASIA,Nepal,TIB
bayerischen Alpen,bayerischen Alpen,LOC,0.01259843,0.00000000,de,12.70000000,,0,,,,,,
Nepal,Nepal,LOC,0.08196721,0.00000000,de,12.20000000,4041612-4,1282988,A,28.00000000,84.00000000,ASIA,Nepal,TIB
französischen Alpen,französischen Alpen,LOC,-0.33050847,0.00000000,de,11.80000000,,0,,,,,,
Lawinengefahr,Lawinengefahr,LOC,0.05932203,0.00000000,de,11.80000000,,0,,,,,,
Tiroler Bergen,Tiroler Bergen,LOC,-0.06779661,0.00000000,de,11.80000000,,0,,,,,,
Baden-Württemberg,Baden-Württemberg,LOC,-0.41101695,0.00000000,de,11.80000000,4004176-1,2953481,A,48.50000000,9.00000000,EUROPE,Germany,WCE
USA,USA,LOC,-0.20796460,0.04424779,de,11.30000000,4078704-7,6255150,L,-14.60485000,-57.65625000,SOUTH-AMERICA,Brazil,SAM
München,München,LOC,-0.24660194,0.00000000,de,10.30000000,4245720-8,2867714,P,48.13743000,11.57549000,EUROPE,Germany,WCE
St. Anton am Arlberg,St. Anton am Arlberg,LOC,-0.44500000,0.00000000,de,10.00000000,4196372-6,2766757,P,47.12750000,10.26372000,EUROPE,Austria,WCE
Japan,Japan,LOC,-0.17500000,0.25000000,de,10.00000000,4028495-5,1861060,A,35.68536000,139.75309000,ASIA,Japan,EAS
Waldgrenze,Waldgrenze,LOC,0.08500000,0.00000000,de,10.00000000,,0,,,,,,
Himalaya-Gebirge,Himalaya-Gebirge,LOC,-0.51052632,0.00000000,de,9.50000000,,0,,,,,,
italienischen Alpen,italienischen Alpen,LOC,-0.07142857,0.05494505,de,9.10000000,,0,,,,,,
Kanton Wallis,Kanton Wallis,LOC,-0.10989011,0.00000000,de,9.10000000,4064466-2,2658205,A,46.22925000,7.45972000,EUROPE,Switzerland,WCE
Landes,Landes,LOC,0.06043956,0.00000000,de,9.10000000,,3007868,L,44.25000000,-1.00000000,EUROPE-AFRICA,France,MED
US-Bundesstaat Kalifornien,US-Bundesstaat Kalifornien,LOC,-0.47252747,0.05494505,de,9.10000000,,0,,,,,,
Berlin,Berlin,LOC,-0.48351648,0.00000000,de,9.10000000,4005728-8,2950159,P,52.52437000,13.41053000,EUROPE,Germany,WCE
Schwarzwald,Schwarzwald,LOC,-0.07692308,0.00000000,de,9.10000000,4034109-4,2881885,P,48.34042000,7.86886000,EUROPE,Germany,WCE
Serfaus,Serfaus,LOC,0.34146341,0.00000000,de,8.20000000,4054597-0,2765150,P,47.04018000,10.60339000,EUROPE,Austria,WCE
Wallis,Wallis,LOC,-0.08536585,0.00000000,de,8.20000000,4210894-9,4034749,A,-13.30000000,-176.20000000,PACIFIC,Wallis and Futuna,SPO
Cebu City,Cebu City,LOC,-0.14227642,0.16260163,de,8.20000000,4216903-3,1717512,P,10.31672000,123.89071000,ASIA,Philippines,SEA
Ischgl,Ischgl,LOC,0.09756098,0.00000000,de,8.20000000,4261861-7,2775183,P,47.01257000,10.29179000,EUROPE,Austria,WCE
Lötschental,Lötschental,LOC,0.00000000,0.00000000,de,8.20000000,4036164-0,2659847,T,46.40957000,7.80200000,EUROPE,Switzerland,WCE
Valloire,Valloire,LOC,0.57534247,0.00000000,de,7.30000000,4288453-6,2976895,P,45.28774000,4.94903000,EUROPE,France,WCE
Stubaier Gletscher,Stubaier Gletscher,LOC,0.09589041,0.00000000,de,7.30000000,,0,,,,,,
Österreichs,Österreichs,LOC,0.05479452,0.00000000,de,7.30000000,,13513071,S,48.20430000,16.37016000,EUROPE,Austria,WCE
Allgäuer Alpen,Allgäuer Alpen,LOC,0.05479452,0.00000000,de,7.30000000,4001265-7,2958341,T,47.40000000,10.25000000,EUROPE,Germany,WCE
Fiss,Fiss,LOC,0.05479452,0.00000000,de,7.30000000,4092957-7,2540695,L,31.02056000,-8.14444000,EUROPE-AFRICA,Morocco,MED
Tirols,Tirols,LOC,0.57534247,0.00000000,de,7.30000000,,0,,,,,,
Stubaier Alpen,Stubaier Alpen,LOC,-0.13698630,0.00000000,de,7.30000000,4058151-2,2764095,T,47.08333000,11.16667000,EUROPE,Austria,WCE
Pyrenäen,Pyrenäen,LOC,-0.27397260,0.00000000,de,7.30000000,4047911-0,6299377,S,43.38000000,-0.41861000,EUROPE-AFRICA,France,MED
Kitzbühel,Kitzbühel,LOC,0.09589041,0.00000000,de,7.30000000,4030895-9,2774347,P,47.44637000,12.39215000,EUROPE,Austria,WCE
Hamburg,Hamburg,LOC,-0.43382353,0.29411765,de,6.80000000,4239189-1,2911298,P,53.55073000,9.99302000,EUROPE,Germany,NEU
Lawinen-Drama,Lawinen-Drama,LOC,-0.30303030,0.00000000,de,6.60000000,,0,,,,,,
Lawinenwarndienste,Lawinenwarndienste,LOC,-0.30729167,0.05208333,de,6.40000000,,0,,,,,,
Savoyen,Savoyen,LOC,-0.21875000,0.00000000,de,6.40000000,4051850-4,6354997,S,48.19156000,16.38091000,EUROPE,Austria,WCE
Kamtschatka,Kamtschatka,LOC,0.00000000,0.00000000,de,6.40000000,4029453-5,2125072,A,55.00000000,159.00000000,ASIA,Russia,RFE
Sulden,Sulden,LOC,-0.10937500,0.00000000,de,6.40000000,4058547-5,3166437,P,46.52715000,10.58905000,EUROPE,Italy,WCE
Lawinenkatastrophe,Lawinenkatastrophe,LOC,-0.15625000,0.00000000,de,6.40000000,,0,,,,,,
St. Anton,St. Anton,LOC,0.21875000,0.00000000,de,6.40000000,4196372-6,2766757,P,47.12750000,10.26372000,EUROPE,Austria,WCE
Allgäu,Allgäu,LOC,-0.15625000,0.00000000,de,6.40000000,4030234-9,2891621,P,47.72674000,10.31389000,EUROPE,Germany,WCE
Berchtesgadener Alpen,Berchtesgadener Alpen,LOC,0.15625000,0.00000000,de,6.40000000,4005576-0,2950879,T,47.56667000,12.95000000,EUROPE,Germany,WCE
Dortmund,Dortmund,LOC,0.15625000,0.00000000,de,6.40000000,4012814-3,2935517,P,51.51494000,7.46600000,EUROPE,Germany,WCE
Ortler-Gebirge,Ortler-Gebirge,LOC,-0.16666667,0.00000000,de,6.00000000,,0,,,,,,
Schweizer Alpen,Schweizer Alpen,LOC,0.25454545,0.18181818,de,5.50000000,,0,,,,,,
Pinzgau,Pinzgau,LOC,0.31818182,0.09090909,de,5.50000000,4046112-9,2762000,P,47.24643000,12.22731000,EUROPE,Austria,WCE
Unfälle,Unfälle,LOC,-0.18181818,0.00000000,de,5.50000000,,0,,,,,,
Bezirk Landeck,Bezirk Landeck,LOC,0.12727273,0.00000000,de,5.50000000,,2773069,A,47.12575000,10.56679000,EUROPE,Austria,WCE
Pongau,Pongau,LOC,0.25454545,0.00000000,de,5.50000000,4046758-2,2766642,A,47.30000000,13.30000000,EUROPE,Austria,WCE
Südtiroler,Südtiroler,LOC,-0.23636364,0.00000000,de,5.50000000,,10286349,S,46.49998000,11.34966000,EUROPE,Italy,WCE
Feldberg,Feldberg,LOC,-0.33636364,0.00000000,de,5.50000000,,2927445,T,47.87399000,8.00371000,EUROPE,Germany,WCE
den USA,den USA,LOC,-0.33636364,0.00000000,de,5.50000000,4011446-6,2747373,P,52.07667000,4.29861000,EUROPE,The Netherlands,NEU
Sierra Nevada,Sierra Nevada,LOC,-0.23636364,0.18181818,de,5.50000000,,5395648,T,36.57855000,-118.29342000,NORTH-AMERICA,United States,WNA
Unglücke,Unglücke,LOC,0.36363636,0.00000000,de,5.50000000,,0,,,,,,
Ri,Ri,LOC,-0.21276596,0.00000000,de,4.70000000,4042300-1,2328926,A,10.00000000,8.00000000,AFRICA,Nigeria,WAF
Lech-Zürs,Lech-Zürs,LOC,0.00000000,0.21739130,de,4.60000000,4109079-2,2760447,P,47.16667000,10.16667000,EUROPE,Austria,WCE
der Schweiz,der Schweiz,LOC,-0.18478261,0.00000000,de,4.60000000,,2661324,P,47.14035000,7.37175000,EUROPE,Switzerland,WCE
Stuttgart,Stuttgart,LOC,-0.86956522,0.00000000,de,4.60000000,4058282-6,2825297,P,48.78232000,9.17702000,EUROPE,Germany,WCE
See,See,LOC,-0.15217391,0.00000000,de,4.60000000,1294128485,3082253,H,53.65794000,14.32949000,EUROPE,Poland,WCE
Salzburger Pongau,Salzburger Pongau,LOC,-0.15217391,0.00000000,de,4.60000000,,0,,,,,,
Schneedecke,Schneedecke,LOC,0.00000000,0.00000000,de,4.60000000,,0,,,,,,
Salzburgs Bergen,Salzburgs Bergen,LOC,-0.52173913,0.00000000,de,4.60000000,,0,,,,,,
Wien,Wien,LOC,0.00000000,0.00000000,de,4.60000000,4066009-6,2761369,P,48.20849000,16.37208000,EUROPE,Austria,WCE
Italiener,Italiener,LOC,-0.30434783,0.00000000,de,4.60000000,,12216629,R,46.60614000,13.84133000,EUROPE,Austria,WCE
