,phrase,label,sentiment,subjectivity,language,count
deutsche,deutsche,MISC,,,de,54.39999999999998
Deutsche,Deutsche,MISC,,,de,31.19999999999998
"Link
","Link
",MISC,,,de,25.799999999999986
Deutscher,Deutscher,MISC,,,de,25.09999999999999
“,“,MISC,-2.0,0.0,de,15.800000000000004
französischen,französischen,MISC,,,de,12.700000000000003
deutschen,deutschen,MISC,,,de,11.9
österreichischen,österreichischen,MISC,,,de,7.300000000000001
italienische,italienische,MISC,,,de,5.8
Der junge Mann,Der junge Mann,MISC,,,de,5.5
italienischen,italienischen,MISC,,,de,5.0
Deutschen,Deutschen,MISC,,,de,4.8
"Ringe""-Trilogie","Ringe""-Trilogie",MISC,,,de,3.6999999999999997
österreichische,österreichische,MISC,,,de,3.6999999999999997
Todesopfer des Lawinenunglücks,Todesopfer des Lawinenunglücks,MISC,,,de,3.0
Notfälle“,Notfälle“,MISC,,,de,2.8
Drei Tote,Drei Tote,MISC,,,de,2.8
Streif-Abfahrt,Streif-Abfahrt,MISC,,,de,2.8
S…,S…,MISC,,,de,2.0
IPCC-Forscher,IPCC-Forscher,MISC,,,de,2.0
Bergsteiger-Gruppe,Bergsteiger-Gruppe,MISC,,,de,2.0
Lawinenunglück,Lawinenunglück,MISC,0.0,0.0,de,2.0
Großeinsatz“,Großeinsatz“,MISC,,,de,1.9
Weihnachten,Weihnachten,MISC,,,de,1.9
Himalaya“,Himalaya“,MISC,,,de,1.9
Herr Winter,Herr Winter,MISC,,,de,1.9
Freundliches Wetter,Freundliches Wetter,MISC,,,de,1.1
Notfall Lawine VR“,Notfall Lawine VR“,MISC,,,de,1.0
Winterwetter“,Winterwetter“,MISC,,,de,1.0
Half-Life 3,Half-Life 3,MISC,,,de,1.0
Half-Life,Half-Life,MISC,,,de,1.0
Schweizer,Schweizer,MISC,,,de,1.0
KI,KI,MISC,,,de,1.0
Unfall in Tirol,Unfall in Tirol,MISC,,,de,1.0
u…,u…,MISC,,,de,1.0
Finanzwelt der Zukunft,Finanzwelt der Zukunft,MISC,,,de,1.0
Kathimerini,Kathimerini,MISC,,,de,1.0
"Ringe""-Effekt","Ringe""-Effekt",MISC,,,de,1.0
Zeit,Zeit,MISC,,,de,1.0
Der Mann,Der Mann,MISC,,,de,1.0
Zeit der Winterwanderer,Zeit der Winterwanderer,MISC,,,de,1.0
Energieausbeute,Energieausbeute,MISC,,,de,1.0
Temperaturanstieg,Temperaturanstieg,MISC,,,de,1.0
e…,e…,MISC,,,de,1.0
spanischen,spanischen,MISC,,,de,1.0
Stubaier Gletschers,Stubaier Gletschers,MISC,,,de,1.0
realitätsnah g…,realitätsnah g…,MISC,,,de,1.0
N…,N…,MISC,,,de,1.0
Tragödie auf der Zugspitze,Tragödie auf der Zugspitze,MISC,,,de,1.0
Ein Klettersteig an der Zugspitze is,Ein Klettersteig an der Zugspitze is,MISC,,,de,1.0
A…,A…,MISC,,,de,1.0
Woc…,Woc…,MISC,,,de,1.0
Fantasy-Reihe,Fantasy-Reihe,MISC,,,de,1.0
Der Herr der Ringe,Der Herr der Ringe,MISC,,,de,1.0
Capital</li><li>4,Capital</li><li>4,MISC,,,de,1.0
stern+,stern+,MISC,,,de,1.0
stern+statt,stern+statt,MISC,,,de,1.0
Schneerutsch,Schneerutsch,MISC,,,de,1.0
sozialen,sozialen,MISC,,,de,1.0
deutscher,deutscher,MISC,,,de,1.0
dpa,dpa,MISC,,,de,1.0
27.11.2025,27.11.2025,MISC,,,de,1.0
Tragödie im Himalaya,Tragödie im Himalaya,MISC,,,de,1.0
Lahnerhornlawine“,Lahnerhornlawine“,MISC,,,de,1.0
Wieserlawine“,Wieserlawine“,MISC,,,de,1.0
B311,B311,MISC,-1.0,0.0,de,1.0
Chance auf weiße Weihnachten,Chance auf weiße Weihnachten,MISC,,,de,1.0
La Plagne/ Valloire,La Plagne/ Valloire,MISC,,,de,1.0
Unfälle,Unfälle,MISC,0.0,0.0,de,1.0
Vier Tote bei Lawinenunglück,Vier Tote bei Lawinenunglück,MISC,,,de,1.0
Lawi…,Lawi…,MISC,,,de,1.0
