keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Lawine',de,Hazard,#4287f5,#022f78,3,0.2465462360743036
'Skifahrer Lawine',de,Causes,#a89216,#c7b34a,3,0.20600893836429543
'Todesopfer Lawinenunglück',de,Impacts,#4287f5,#63a5da,1,0.2057359521749999
'Schneemassen',de,Impacts,#4287f5,#638ed7,3,0.1817753153894213
'Verschüttete Lawine',de,Impacts,#4287f5,#638ed5,1,0.1209581073630729
'Rettungseinsatz Lawine',de,Impacts,#4287f5,#639fd8,2,0.11272355334647
'Lawinenopfer',de,Impacts,#4287f5,#638ed1,1,0.1034681560419141
'Lawinensuchhunde',de,Mitigation,#9e3215,#d64718,1,0.0893566873201449
'Suchaktion Lawine',de,Impacts,#4287f5,#63a2d9,1,0.0855715147690096
'Lawinenverschüttetensuchgerät',de,Mitigation,#9e3215,#d64118,1,0.0806643710249429
'Lawinenlagebericht',de,Mitigation,#9e3215,#d63e18,1,0.0764738106273125
'Risikomanagement Lawinen',de,Adaptation,#157a2c,#22963a,1,0.0695373427453547
'Lawinenschaufel',de,Mitigation,#9e3215,#d64418,1,0.0672345812411081
'Schneebrettlawine',de,Hazard,#4287f5,#024f78,1,0.0655777883096046
'Schneefallgrenze',de,Causes,#a89216,#eddcb1,2,0.0580132827393423
'Temperaturanstieg',de,Causes,#a89216,#ccb250,2,0.0533500146997504
'Vibrationen im Schnee',de,Causes,#a89216,#f9eccf,1,0.046050015
'Lawinenverbauung',de,Mitigation,#9e3215,#d66118,1,0.0455956152844817
'Lawinenkatastrophe',de,Impacts,#4287f5,#639cd7,1,0.0438387735875
'Lawinenbahn',de,Hazard,#4287f5,#02c678,1,0.0433499999999999
'Sonneneinstrahlung Schnee',de,Causes,#a89216,#d3bb63,1,0.0426449669223525
'Klimawandel Lawinengefahr',de,Adaptation,#157a2c,#4cc75d,1,0.0426274999999999
'Regen auf Schneedecke',de,Causes,#a89216,#fff4e0,3,0.0424688185802677
'Sturzbahn Lawine',de,Causes,#a89216,#e2cb89,1,0.0421832012204174
'Erwärmung Lawinen',de,Causes,#a89216,#d1bb5e,1,0.0419230200282149
'Erfroren Lawine',de,Impacts,#4287f5,#638ed4,1,0.041488871855335
'Sicherheitsausrüstung Lawine',de,Mitigation,#9e3215,#d65218,1,0.04053225
'Schutzkonzepte Lawinen',de,Adaptation,#157a2c,#3ab24e,1,0.039918125
'Mischlawine',de,Hazard,#4287f5,#027678,1,0.0393039999999999
'Schwimmschnee Schicht',de,Causes,#a89216,#e0cd8b,1,0.0393039999999999
'Hangneigung',de,Causes,#a89216,#e6d59e,1,0.0390418465999999
